x,y,color,target
0.2,-3.5,3,1.0
-0.2,-3.5,3,1.0
0.2,3.5,3,1.0
-0.2,3.5,3,1.0
5.01,-2.1,1,1.0
5.19,4.76,2,1.0
10.0,-1.11,1,1.0
10.34,4.89,2,1.0
15.02,-1.17,1,1.0
15.36,4.82,2,1.0
20.04,-1.24,1,1.0
20.37,4.75,2,1.0
25.05,-1.31,1,1.0
25.39,4.69,2,1.0
30.07,-1.37,1,1.0
30.4,4.62,2,1.0
35.09,-1.44,1,1.0
35.42,4.56,2,1.0
40.1,-1.51,1,1.0
40.44,4.49,2,1.0
45.12,-1.57,1,1.0
45.45,4.42,2,1.0
50.13,-1.64,1,1.0
50.47,4.36,2,1.0
55.15,-1.71,1,1.0
55.49,4.29,2,1.0
60.27,-1.72,1,1.0
60.58,4.69,2,1.0
65.34,-0.64,1,1.0
65.0,7.17,2,1.0
69.83,1.58,1,1.0
69.5,9.4,2,1.0
74.32,3.81,1,1.0
73.99,11.62,2,1.0
78.82,6.03,1,1.0
78.49,13.85,2,1.0
83.31,8.26,1,1.0
82.99,16.07,2,1.0
87.81,10.48,1,1.0
91.84,13.46,1,1.0
87.22,18.78,2,1.0
94.68,17.62,1,1.0
89.47,23.29,2,1.0
97.6,21.7,1,1.0
98.62,26.65,1,1.0
90.99,28.11,2,1.0
99.85,31.51,1,1.0
92.22,32.97,2,1.0
101.09,36.38,1,1.0
93.46,37.83,2,1.0
102.32,41.24,1,1.0
94.69,42.7,2,1.0
103.56,46.1,1,1.0
95.93,47.56,2,1.0
104.79,50.96,1,1.0
97.16,52.42,2,1.0
106.02,55.83,1,1.0
98.39,57.28,2,1.0
107.26,60.69,1,1.0
99.63,62.15,2,1.0
108.49,65.55,1,1.0
100.86,67.01,2,1.0
109.73,70.41,1,1.0
102.1,71.87,2,1.0
110.41,75.68,1,1.0
109.5,80.69,1,1.0
101.41,76.88,2,1.0
106.41,84.72,1,1.0
98.22,80.81,2,1.0
102.76,88.19,1,1.0
94.57,84.26,2,1.0
99.12,91.64,1,1.0
90.93,87.71,2,1.0
95.47,95.09,1,1.0
87.29,91.16,2,1.0
91.83,98.54,1,1.0
83.65,94.61,2,1.0
88.19,101.99,1,1.0
79.91,97.93,2,1.0
83.75,104.78,1,1.0
79.9,108.04,1,1.0
75.45,100.26,2,1.0
74.41,109.78,1,1.0
70.81,102.21,2,1.0
69.48,110.79,1,1.0
65.83,102.93,2,1.0
64.41,110.98,1,1.0
60.81,102.97,2,1.0
59.39,110.97,1,1.0
55.8,102.96,2,1.0
54.38,110.96,1,1.0
50.78,102.96,2,1.0
49.36,110.95,1,1.0
45.76,102.95,2,1.0
44.34,110.95,1,1.0
40.75,102.94,2,1.0
39.16,110.97,1,1.0
35.6,103.05,2,1.0
34.07,111.46,1,1.0
30.53,103.73,2,1.0
29.07,112.56,1,1.0
25.43,104.74,2,1.0
20.63,106.52,2,1.0
24.43,114.61,1,1.0
16.08,108.86,2,1.0
19.89,116.97,1,1.0
11.91,111.93,2,1.0
15.63,119.7,1,1.0
7.95,115.17,2,1.0
11.89,123.2,1,1.0
4.41,118.86,2,1.0
8.61,127.13,1,1.0
1.84,123.21,2,1.0
-1.5,127.0,2,1.0
6.19,131.59,1,1.0
-3.67,131.64,2,1.0
4.09,136.26,1,1.0
-5.03,136.64,2,1.0
2.36,141.01,1,1.0
-6.14,141.63,2,1.0
1.55,146.06,1,1.0
-6.63,146.73,2,1.0
1.25,151.13,1,1.0
-7.9,151.61,2,1.0
-0.11,155.99,1,1.0
-3.51,159.75,1,1.0
-7.73,162.5,1,1.0
-11.94,154.56,2,1.0
-13.14,163.01,1,1.0
-18.13,162.13,1,1.0
-16.91,153.75,2,1.0
-22.16,159.08,1,1.0
-20.7,150.34,2,1.0
-25.61,155.35,1,1.0
-24.12,146.63,2,1.0
-29.03,151.63,1,1.0
-27.54,142.91,2,1.0
-32.45,147.92,1,1.0
-30.96,139.2,2,1.0
-35.87,144.2,1,1.0
-34.38,135.48,2,1.0
-39.29,140.49,1,1.0
-37.8,131.77,2,1.0
-42.71,136.77,1,1.0
-41.22,128.05,2,1.0
-46.13,133.06,1,1.0
-48.82,128.81,1,1.0
-44.31,123.87,2,1.0
-51.11,124.22,1,1.0
-50.96,119.21,1,1.0
-44.89,118.84,2,1.0
-50.11,114.24,1,1.0
-44.04,113.87,2,1.0
-49.25,109.27,1,1.0
-43.19,108.89,2,1.0
-48.4,104.29,1,1.0
-42.33,103.92,2,1.0
-47.54,99.32,1,1.0
-41.48,98.95,2,1.0
-46.69,94.35,1,1.0
-40.63,93.98,2,1.0
-45.84,89.38,1,1.0
-39.77,89.01,2,1.0
-44.98,84.41,1,1.0
-38.92,84.03,2,1.0
-43.95,79.4,1,1.0
-37.84,79.0,2,1.0
-42.6,74.51,1,1.0
-36.44,73.98,2,1.0
-41.39,69.51,1,1.0
-34.6,69.0,2,1.0
-39.85,64.68,1,1.0
-32.93,63.91,2,1.0
-38.21,59.75,1,1.0
-31.32,59.17,2,1.0
-36.52,54.9,1,1.0
-29.55,54.21,2,1.0
-34.69,49.86,1,1.0
-27.81,49.48,2,1.0
-32.9,45.09,1,1.0
-25.97,44.68,2,1.0
-31.02,40.27,1,1.0
-24.05,39.86,2,1.0
-29.06,35.46,1,1.0
-22.05,35.08,2,1.0
-27.03,30.72,1,1.0
-20.0,30.39,2,1.0
-24.96,26.09,1,1.0
-17.9,25.84,2,1.0
-22.66,21.28,1,1.0
-15.59,21.15,2,1.0
-20.34,16.75,1,1.0
-13.08,16.45,2,1.0
-17.83,12.27,1,1.0
-11.21,11.64,2,1.0
-14.32,8.28,1,1.0
-11.84,3.87,1,1.0
-7.84,7.87,2,1.0
-8.38,0.19,1,1.0
0.01601716196021992,0.0048051485880659765,M,
0.09610297176131953,0.02883089152839586,M,
0.17618878156241916,0.052856634468725745,M,
0.2562745913635187,0.07688237740905562,M,
0.33636040116461835,0.1009081203493855,M,
0.41644621096571793,0.12493386328971538,M,
0.4965320207668176,0.14895960623004526,M,
0.5766178305679173,0.17298534917037517,M,
0.6567036403690167,0.19701109211070503,M,
0.7367894501701164,0.2210368350510349,M,
0.816875259971216,0.2450625779913648,M,
0.8969610697723156,0.26908832093169466,M,
0.9770468795734152,0.29311406387202454,M,
1.0571326893745148,0.31713980681235443,M,
1.1372184991756145,0.34116554975268437,M,
1.2173043089767142,0.3651912926930142,M,
1.2973901187778136,0.3892170356333441,M,
1.377475928578913,0.4132427785736739,M,
1.457561738380013,0.43726852151400386,M,
1.5376475481811125,0.46129426445433375,M,
1.6177333579822122,0.48532000739466363,M,
1.6978191677833117,0.5093457503349935,M,
1.7779049775844111,0.5333714932753233,M,
1.857990787385511,0.5573972362156533,M,
1.9380765971866107,0.5814229791559832,M,
2.01816240698771,0.605448722096313,M,
2.09824821678881,0.629474465036643,M,
2.1783340265899094,0.6535002079769727,M,
2.258419836391009,0.6775259509173026,M,
2.3385056461921088,0.7015516938576326,M,
2.4185914559932082,0.7255774367979624,M,
2.4986772657943077,0.7496031797382923,M,
2.578763075595407,0.7736289226786222,M,
2.658848885396507,0.797654665618952,M,
2.738934695197606,0.8216804085592818,M,
2.8190205049987065,0.8457061514996119,M,
2.899106314799806,0.8697318944399417,M,
2.9791921246009054,0.8937576373802716,M,
3.0592779344020054,0.9177833803206016,M,
3.139363744203105,0.9418091232609314,M,
3.219449554004204,0.9658348662012611,M,
3.2995353638053038,0.9898606091415911,M,
3.3796211736064037,1.013886352081921,M,
3.4597069834075027,1.037912095022251,M,
3.539792793208602,1.0619378379625806,M,
3.6198786030097025,1.0859635809029107,M,
3.699964412810802,1.1099893238432406,M,
3.7800502226119015,1.1340150667835704,M,
3.8601360324130014,1.1580408097239003,M,
3.940221842214101,1.1820665526642302,M,
4.0203076520152,1.2060922956045599,M,
4.100393461816299,1.23011803854489,M,
4.1804792716174,1.2541437814852199,M,
4.260565081418499,1.2781695244255498,M,
4.340650891219598,1.3021952673658794,M,
4.420736701020699,1.3262210103062095,M,
4.500822510821798,1.3502467532465392,M,
4.580908320622897,1.3742724961868693,M,
4.6609941304239975,1.3982982391271992,M,
4.741079940225097,1.422323982067529,M,
5.2503966258870856,1.5646182426775468,M,
6.423480837785647,1.7986230015927447,M,
7.614637417866758,1.9083079920431114,M,
8.666963507125628,1.9094546545074413,M,
9.503010556245568,1.8983795838029007,M,
10.339057605365511,1.8873045130983601,M,
11.175104654485452,1.8762294423938195,M,
12.011151703605393,1.865154371689279,M,
12.847198752725333,1.8540793009847383,M,
13.683245801845274,1.8430042302801977,M,
14.519292850965215,1.831929159575657,M,
15.355339900085156,1.8208540888711164,M,
16.191386949205096,1.8097790181665758,M,
17.027433998325037,1.7987039474620354,M,
17.863481047444978,1.7876288767574948,M,
18.69952809656492,1.7765538060529542,M,
19.53557514568486,1.7654787353484136,M,
20.3716221948048,1.754403664643873,M,
21.20766924392474,1.7433285939393324,M,
22.04371629304468,1.7322535232347918,M,
22.879763342164622,1.7211784525302511,M,
23.715810391284563,1.7101033818257105,M,
24.551857440404504,1.69902831112117,M,
25.387904489524445,1.6879532404166295,M,
26.223951538644386,1.676878169712089,M,
27.059998587764326,1.6658030990075483,M,
27.896045636884267,1.6547280283030077,M,
28.732092686004208,1.643652957598467,M,
29.56813973512415,1.6325778868939265,M,
30.40418678424409,1.6215028161893859,M,
31.24023383336403,1.6104277454848452,M,
32.07628088248397,1.5993526747803046,M,
32.91232793160391,1.5882776040757642,M,
33.74837498072385,1.5772025333712234,M,
34.58442202984379,1.566127462666683,M,
35.420469078963734,1.5550523919621424,M,
36.256516128083675,1.5439773212576018,M,
37.092563177203616,1.5329022505530612,M,
37.92861022632356,1.5218271798485206,M,
38.764657275443504,1.51075210914398,M,
39.600704324563445,1.4996770384394393,M,
40.43675137368338,1.4886019677348987,M,
41.27279842280332,1.477526897030358,M,
42.10884547192326,1.4664518263258177,M,
42.9448925210432,1.4553767556212769,M,
43.78093957016314,1.4443016849167365,M,
44.61698661928308,1.4332266142121957,M,
45.45303366840302,1.4221515435076553,M,
46.28908071752297,1.4110764728031144,M,
47.125127766642905,1.400001402098574,M,
47.961174815762845,1.3889263313940334,M,
48.79722186488279,1.3778512606894928,M,
49.63326891400273,1.3667761899849524,M,
50.46931596312267,1.3557011192804116,M,
51.30536301224261,1.3446260485758712,M,
52.141410061362556,1.3335509778713304,M,
52.97745711048249,1.32247590716679,M,
53.81350415960243,1.3114008364622494,M,
54.64955120872237,1.3003257657577088,M,
55.48559825784231,1.2892506950531681,M,
56.32164530696226,1.2781756243486275,M,
57.157692356082194,1.267100553644087,M,
57.993739405202135,1.2560254829395463,M,
59.03464220576468,1.2645077629618289,M,
60.20580661613382,1.3847740586599997,M,
61.35789917750466,1.6272050550903554,M,
62.478212827425104,1.9891268474684587,M,
63.554391010534225,2.466547601307452,M,
63.92907489653421,2.651983080532084,M,
64.30375878253419,2.837418559756716,M,
64.67844266853417,3.0228540389813476,M,
65.05312655453416,3.2082895182059796,M,
65.42781044053415,3.3937249974306116,M,
65.80249432653413,3.579160476655243,M,
66.17717821253412,3.7645959558798756,M,
66.5518620985341,3.950031435104507,M,
66.92654598453409,4.13546691432914,M,
67.30122987053406,4.320902393553771,M,
67.67591375653404,4.506337872778403,M,
68.05059764253403,4.691773352003034,M,
68.42528152853401,4.877208831227667,M,
68.799965414534,5.062644310452299,M,
69.17464930053399,5.248079789676931,M,
69.54933318653397,5.433515268901562,M,
69.92401707253396,5.618950748126194,M,
70.29870095853394,5.804386227350826,M,
70.67338484453391,5.989821706575458,M,
71.0480687305339,6.17525718580009,M,
71.42275261653388,6.360692665024722,M,
71.79743650253387,6.546128144249353,M,
72.17212038853386,6.731563623473986,M,
72.54680427453384,6.916999102698617,M,
72.92148816053383,7.102434581923249,M,
73.29617204653381,7.287870061147881,M,
73.67085593253378,7.473305540372513,M,
74.04553981853377,7.658741019597145,M,
74.42022370453375,7.844176498821777,M,
74.79490759053374,8.029611978046407,M,
75.16959147653372,8.21504745727104,M,
75.54427536253371,8.400482936495672,M,
75.9189592485337,8.585918415720304,M,
76.29364313453368,8.771353894944935,M,
76.66832702053367,8.956789374169567,M,
77.04301090653365,9.1422248533942,M,
77.41769479253364,9.327660332618832,M,
77.79237867853361,9.513095811843463,M,
78.1670625645336,9.698531291068097,M,
78.54174645053358,9.883966770292728,M,
78.91643033653357,10.06940224951736,M,
79.29111422253355,10.25483772874199,M,
79.66579810853354,10.440273207966623,M,
80.04048199453351,10.625708687191254,M,
80.41516588053351,10.811144166415888,M,
80.7898497665335,10.99657964564052,M,
81.16453365253346,11.182015124865151,M,
81.53921753853345,11.367450604089782,M,
81.91390142453344,11.552886083314416,M,
82.28858531053342,11.738321562539046,M,
82.6632691965334,11.923757041763677,M,
83.03795308253339,12.10919252098831,M,
83.41263696853338,12.29462800021294,M,
83.78732085453336,12.480063479437574,M,
84.16200474053335,12.665498958662207,M,
84.53668862653333,12.850934437886838,M,
84.91137251253332,13.03636991711147,M,
85.2860563985333,13.221805396336102,M,
85.66074028453328,13.407240875560733,M,
85.99849652411908,13.574967685916812,M,
86.1877143438641,13.673463013788668,M,
86.3755249050775,13.774615898168474,M,
86.56189088486161,13.878406237317924,M,
86.74677524739506,13.984813405367092,M,
86.93014125129285,14.093816256413321,M,
87.1119524569077,14.20539312872349,M,
87.2921727335717,14.319521849038757,M,
87.47076626677632,14.436179736980963,M,
87.64769756528976,14.555343609559841,M,
87.82293146820996,14.676989785780064,M,
87.996433151952,14.801094091347295,M,
88.16816813716848,14.927631863472243,M,
88.33810229560143,15.056577955771825,M,
88.50620185686454,15.187906743266398,M,
88.67243341515422,15.321592127472123,M,
88.83676393588817,15.457607541587421,M,
88.99916076227026,15.595925955772492,M,
89.15959162178028,15.736519882520856,M,
89.31802463258732,15.879361382121846,M,
89.47442830988561,16.02442206821296,M,
89.62877157215122,16.171673113420976,M,
89.78102374731897,16.32108525509072,M,
89.9311545788776,16.4726288011003,M,
90.07913423188268,16.626273635761756,M,
90.22493329888547,16.781989225805788,M,
90.36852280577708,16.939744626449553,M,
90.50987421754624,17.099508487546196,M,
90.64895944395013,17.261249059814958,M,
90.78575084509652,17.42493420115057,M,
90.92022123693653,17.590531383010763,M,
91.05234389666697,17.758007696880526,M,
91.18209256804069,17.9273298608119,M,
91.30944146658447,18.098464226037976,M,
91.43436528472309,18.27137678365979,M,
91.55683919680854,18.446033171404782,M,
91.67683886405362,18.622398680455497,M,
91.79434043936863,18.800438262347107,M,
91.9093205721004,18.98011653593251,M,
92.02175641267276,19.161397794413453,M,
92.13162561712728,19.344246012436432,M,
92.23890635156363,19.52862485325187,M,
92.34357729647853,19.714497675935203,M,
92.44561765100254,19.901827542668357,M,
92.54500713703369,20.090577226080303,M,
92.64172600326731,20.280709216645093,M,
92.73575502912111,20.472185730136,M,
92.82707552855481,20.66496871513423,M,
92.91566935378357,20.859019860590735,M,
93.00151889888444,21.054300603439646,M,
93.08460710329507,21.250772136261745,M,
93.16491745520415,21.44839541499653,M,
93.2424339948327,21.64713116670131,M,
93.31714131760572,21.846939897355742,M,
93.38902457721346,22.04778189971036,M,
93.45806948856185,22.249617261177427,M,
93.52426233061118,22.452405871762632,M,
93.58758994910298,22.656107432036002,M,
93.64803975917401,22.86068146114044,M,
93.70559974785728,23.06608730483635,M,
93.83566594835088,23.57149781286759,M,
