x,y,color,target
2.87,-3.0,Y,1.0
2.87,3.0,B,1.0
7.17,-3.0,Y,1.0
7.17,3.0,B,1.0
11.47,-3.0,Y,1.0
11.47,3.0,B,1.0
15.77,-3.0,Y,1.0
15.77,3.0,B,1.0
20.07,-3.0,Y,1.0
20.07,3.0,B,1.0
24.37,-3.0,Y,1.0
24.37,3.0,B,1.0
28.67,-3.0,Y,1.0
28.67,3.0,B,1.0
32.97,-3.0,Y,1.0
32.97,3.0,B,1.0
25.35,-7.2,Y,0.0
27.35,-1.2,B,0.0
30.48,-4.17,B,0.0
32.65,-9.04,B,0.0
27.02,-11.08,Y,0.0
33.26,-13.27,B,0.0
27.42,-15.55,Y,0.0
33.6,-17.87,B,0.0
27.86,-20.15,Y,0.0
34.28,-22.33,B,0.0
28.7,-24.7,Y,0.0
31.35,-28.7,Y,0.0
36.87,-26.11,B,0.0
35.16,-31.85,Y,0.0
39.5,-32.76,Y,0.0
41.59,-26.89,B,0.0
43.75,-32.87,Y,0.0
30.434566216894485,-11.600301929002043,B,0.0
0.72,0.0,M,
4.3,0.0,M,
7.89,0.0,M,
11.47,0.0,M,
15.05,0.0,M,
18.64,0.0,M,
22.22,0.0,M,
25.81,0.0,M,
29.39,0.0,M,
32.97,0.0,M,
