x,y,color,target
5.69,-2.75,Y,1.0
3.69,3.25,B,1.0
10.33,-2.01,Y,1.0
8.33,3.99,B,1.0
14.86,-0.78,Y,1.0
12.86,5.22,B,1.0
20.24,0.92,Y,1.0
18.35,7.94,B,1.0
24.41,3.08,Y,1.0
22.41,9.32,B,1.0
29.33,6.66,Y,1.0
32.96,9.64,Y,1.0
26.96,13.64,B,1.0
36.25,12.99,Y,1.0
30.25,16.99,B,1.0
39.17,16.67,Y,1.0
33.17,20.67,B,1.0
42.69,21.64,Y,1.0
35.78,25.72,B,1.0
44.77,25.85,Y,1.0
37.64,30.03,B,1.0
46.39,30.26,Y,1.0
47.54,35.81,Y,1.0
39.54,35.81,B,1.0
48.2,40.46,Y,1.0
40.2,40.46,B,1.0
48.37,45.16,Y,1.0
40.37,45.16,B,1.0
48.04,50.84,Y,1.0
39.69,51.16,B,1.0
47.21,55.46,Y,1.0
38.62,55.74,B,1.0
45.9,60.98,Y,1.0
44.13,65.32,Y,1.0
36.13,61.32,B,1.0
41.9,69.46,Y,1.0
33.9,65.46,B,1.0
38.25,74.33,Y,1.0
30.77,70.16,B,1.0
35.2,77.91,Y,1.0
27.54,73.57,B,1.0
31.79,81.14,Y,1.0
23.96,76.62,B,1.0
28.06,83.99,Y,1.0
23.88,86.05,Y,1.0
19.88,80.05,B,1.0
19.81,88.64,Y,1.0
15.81,82.64,B,1.0
16.22,90.87,Y,1.0
12.22,84.87,B,1.0
13.2,93.63,Y,1.0
8.37,86.08,B,1.0
9.27,95.78,Y,1.0
4.56,89.21,B,1.0
5.48,97.21,Y,1.0
0.79,91.66,B,1.0
1.41,99.93,Y,1.0
-2.59,93.93,B,1.0
56.087083820920974,55.72187503406043,B,0.0
71.22,57.92,Y,0.0
65.22,61.92,B,0.0
74.9,60.89,Y,0.0
68.9,64.89,B,0.0
78.22,63.81,Y,0.0
72.22,67.81,B,0.0
81.15,66.69,Y,0.0
75.15,70.69,B,0.0
84.24,70.29,Y,0.0
78.24,74.29,B,0.0
86.21,74.19,Y,0.0
80.4,78.39,B,0.0
89.04,77.88,Y,0.0
89.95,81.92,Y,0.0
82.09,82.7,B,0.0
90.34,87.68,Y,0.0
82.21,87.34,B,0.0
89.74,91.89,Y,0.0
81.25,91.65,B,0.0
88.62,96.45,Y,0.0
79.39,95.25,B,0.0
2.35,0.06,M,
13.86,2.22,M,
24.41,7.32,M,
33.25,14.99,M,
39.78,24.72,M,
43.54,35.81,M,
44.26,47.5,M,
41.9,58.98,M,
36.62,69.43,M,
28.79,78.14,M,
20.75,83.77,M,
16.2,86.65,M,
13.16,88.51,M,
11.2,89.63,M,
9.91,90.33,M,
8.84,90.88,M,
7.59,91.59,M,
5.71,92.75,M,
2.79,94.66,M,
-1.6,97.62,M,
