x,y,color,target
3.16,-2.92,Y,1.0
2.59,3.22,B,1.0
7.42,-2.3,Y,1.0
6.82,4.04,B,1.0
11.88,-1.32,Y,1.0
10.54,5.76,B,1.0
15.83,0.4,Y,1.0
18.91,3.25,Y,1.0
14.91,7.25,B,1.0
22.74,5.46,Y,1.0
17.8,10.44,B,1.0
25.76,8.54,Y,1.0
20.67,13.66,B,1.0
27.92,12.42,Y,1.0
30.71,15.53,Y,1.0
22.71,17.53,B,1.0
32.35,19.24,Y,1.0
24.35,21.24,B,1.0
34.2,23.6,Y,1.0
26.2,25.6,B,1.0
36.06,27.96,Y,1.0
28.06,29.96,B,1.0
37.91,32.32,Y,1.0
29.91,34.32,B,1.0
39.77,36.68,Y,1.0
31.77,38.68,B,1.0
41.62,41.04,Y,1.0
33.62,43.04,B,1.0
43.47,45.4,Y,1.0
35.47,47.4,B,1.0
45.33,49.76,Y,1.0
37.33,51.76,B,1.0
47.18,54.11,Y,1.0
39.18,56.11,B,1.0
49.04,58.47,Y,1.0
41.04,60.47,B,1.0
50.25,62.62,Y,1.0
42.5,64.68,B,1.0
50.4,67.03,Y,1.0
49.35,71.33,Y,1.0
40.66,68.62,B,1.0
46.42,75.53,Y,1.0
38.48,72.05,B,1.0
43.43,79.29,Y,1.0
35.83,75.14,B,1.0
40.77,82.37,Y,1.0
33.24,78.2,B,1.0
37.85,86.02,Y,1.0
31.03,82.23,B,1.0
28.38,86.87,B,1.0
36.15,90.09,Y,1.0
28.2,90.93,B,1.0
34.65239514981423,67.1518291621274,Y,0.0
0.72,0.01,M,
4.3,0.31,M,
7.82,1.04,M,
11.22,2.19,M,
14.47,3.74,M,
17.5,5.67,M,
20.28,7.95,M,
22.76,10.54,M,
24.92,13.42,M,
26.71,16.53,M,
28.35,20.24,M,
30.2,24.6,M,
32.06,28.96,M,
33.91,33.32,M,
35.77,37.68,M,
37.62,42.04,M,
39.47,46.4,M,
41.33,50.76,M,
43.18,55.11,M,
45.04,59.47,M,
46.39,63.31,M,
46.27,66.69,M,
45.02,69.97,M,
42.96,73.17,M,
40.43,76.29,M,
37.77,79.37,M,
35.29,82.41,M,
33.34,85.44,M,
32.24,88.48,M,
32.33,91.55,M,
